source program: DIGISIM WINDOWS
program version: 3.05
file type: CV

experimental parameters:
Estart (V): 1.000
Eswitch (V): -0.800
Eend (V): 1.000
v (V/s): 5.000e-002
temperature (K): 298.2
Ru (Ohms): 0
Cdl (F): 0
cycles: 1

experimental CV curve:
number of E(V), I(A) couples: 3600
0.386, -1.052e-006
0.385, -1.053e-006
0.384, -1.065e-006
0.383, -1.062e-006
0.382, -1.056e-006
0.381, -1.053e-006
0.380, -1.058e-006
0.379, -1.054e-006
0.378, -1.055e-006
0.377, -1.057e-006
0.376, -1.063e-006
0.375, -1.065e-006
0.374, -1.063e-006
0.373, -1.065e-006
0.372, -1.068e-006
0.371, -1.057e-006
0.370, -1.068e-006
0.369, -1.072e-006
0.368, -1.073e-006
0.367, -1.079e-006
0.366, -1.075e-006
0.365, -1.072e-006
0.364, -1.081e-006
0.363, -1.076e-006
0.362, -1.083e-006
0.361, -1.091e-006
0.360, -1.087e-006
0.359, -1.089e-006
0.358, -1.099e-006
0.357, -1.089e-006
0.356, -1.094e-006
0.355, -1.091e-006
0.354, -1.094e-006
0.353, -1.095e-006
0.352, -1.090e-006
0.351, -1.093e-006
0.350, -1.096e-006
0.349, -1.103e-006
0.348, -1.101e-006
0.347, -1.099e-006
0.346, -1.097e-006
0.345, -1.096e-006
0.344, -1.103e-006
0.343, -1.106e-006
0.342, -1.105e-006
0.341, -1.115e-006
0.340, -1.110e-006
0.339, -1.110e-006
0.338, -1.113e-006
0.337, -1.114e-006
0.336, -1.119e-006
0.335, -1.116e-006
0.334, -1.116e-006
0.333, -1.128e-006
0.332, -1.127e-006
0.331, -1.116e-006
0.330, -1.125e-006
0.329, -1.127e-006
0.328, -1.127e-006
0.327, -1.126e-006
0.326, -1.123e-006
0.325, -1.128e-006
0.324, -1.132e-006
0.323, -1.129e-006
0.322, -1.131e-006
0.321, -1.135e-006
0.320, -1.131e-006
0.319, -1.133e-006
0.318, -1.136e-006
0.317, -1.141e-006
0.316, -1.144e-006
0.315, -1.139e-006
0.314, -1.142e-006
0.313, -1.137e-006
0.312, -1.143e-006
0.311, -1.148e-006
0.310, -1.151e-006
0.309, -1.149e-006
0.308, -1.155e-006
0.307, -1.194e-006
0.306, -1.160e-006
0.305, -1.152e-006
0.304, -1.161e-006
0.303, -1.162e-006
0.302, -1.154e-006
0.301, -1.156e-006
0.300, -1.161e-006
0.299, -1.161e-006
0.298, -1.161e-006
0.297, -1.170e-006
0.296, -1.167e-006
0.295, -1.166e-006
0.294, -1.164e-006
0.293, -1.171e-006
0.292, -1.181e-006
0.291, -1.171e-006
0.290, -1.166e-006
0.289, -1.177e-006
0.288, -1.178e-006
0.287, -1.183e-006
0.286, -1.175e-006
0.285, -1.178e-006
0.284, -1.182e-006
0.283, -1.184e-006
0.282, -1.194e-006
0.281, -1.200e-006
0.280, -1.183e-006
0.279, -1.190e-006
0.278, -1.199e-006
0.277, -1.186e-006
0.276, -1.190e-006
0.275, -1.193e-006
0.274, -1.194e-006
0.273, -1.191e-006
0.272, -1.201e-006
0.271, -1.203e-006
0.270, -1.198e-006
0.269, -1.196e-006
0.268, -1.202e-006
0.267, -1.199e-006
0.266, -1.208e-006
0.265, -1.209e-006
0.264, -1.207e-006
0.263, -1.206e-006
0.262, -1.204e-006
0.261, -1.211e-006
0.260, -1.213e-006
0.259, -1.215e-006
0.258, -1.212e-006
0.257, -1.213e-006
0.256, -1.226e-006
0.255, -1.226e-006
0.254, -1.218e-006
0.253, -1.223e-006
0.252, -1.219e-006
0.251, -1.215e-006
0.250, -1.224e-006
0.249, -1.226e-006
0.248, -1.222e-006
0.247, -1.229e-006
0.246, -1.230e-006
0.245, -1.231e-006
0.244, -1.233e-006
0.243, -1.225e-006
0.242, -1.230e-006
0.241, -1.235e-006
0.240, -1.232e-006
0.239, -1.236e-006
0.238, -1.233e-006
0.237, -1.237e-006
0.236, -1.235e-006
0.235, -1.234e-006
0.234, -1.242e-006
0.233, -1.242e-006
0.232, -1.244e-006
0.231, -1.243e-006
0.230, -1.264e-006
0.229, -1.245e-006
0.228, -1.254e-006
0.227, -1.255e-006
0.226, -1.254e-006
0.225, -1.252e-006
0.224, -1.251e-006
0.223, -1.252e-006
0.222, -1.259e-006
0.221, -1.262e-006
0.220, -1.260e-006
0.219, -1.264e-006
0.218, -1.261e-006
0.217, -1.257e-006
0.216, -1.268e-006
0.215, -1.263e-006
0.214, -1.267e-006
0.213, -1.273e-006
0.212, -1.272e-006
0.211, -1.261e-006
0.210, -1.274e-006
0.209, -1.277e-006
0.208, -1.276e-006
0.207, -1.277e-006
0.206, -1.273e-006
0.205, -1.304e-006
0.204, -1.299e-006
0.203, -1.283e-006
0.202, -1.288e-006
0.201, -1.291e-006
0.200, -1.289e-006
0.199, -1.293e-006
0.198, -1.284e-006
0.197, -1.289e-006
0.196, -1.289e-006
0.195, -1.291e-006
0.194, -1.294e-006
0.193, -1.295e-006
0.192, -1.294e-006
0.191, -1.301e-006
0.190, -1.301e-006
0.189, -1.306e-006
0.188, -1.308e-006
0.187, -1.303e-006
0.186, -1.305e-006
0.185, -1.303e-006
0.184, -1.303e-006
0.183, -1.310e-006
0.182, -1.311e-006
0.181, -1.316e-006
0.180, -1.313e-006
0.179, -1.334e-006
0.178, -1.319e-006
0.177, -1.321e-006
0.176, -1.318e-006
0.175, -1.328e-006
0.174, -1.322e-006
0.173, -1.321e-006
0.172, -1.324e-006
0.171, -1.321e-006
0.170, -1.330e-006
0.169, -1.331e-006
0.168, -1.324e-006
0.167, -1.328e-006
0.166, -1.325e-006
0.165, -1.330e-006
0.164, -1.339e-006
0.163, -1.342e-006
0.162, -1.339e-006
0.161, -1.336e-006
0.160, -1.333e-006
0.159, -1.341e-006
0.158, -1.342e-006
0.157, -1.341e-006
0.156, -1.346e-006
0.155, -1.348e-006
0.154, -1.354e-006
0.153, -1.359e-006
0.152, -1.355e-006
0.151, -1.355e-006
0.150, -1.355e-006
0.149, -1.360e-006
0.148, -1.360e-006
0.147, -1.356e-006
0.146, -1.364e-006
0.145, -1.362e-006
0.144, -1.367e-006
0.143, -1.367e-006
0.142, -1.364e-006
0.141, -1.361e-006
0.140, -1.364e-006
0.139, -1.369e-006
0.138, -1.376e-006
0.137, -1.380e-006
0.136, -1.378e-006
0.135, -1.374e-006
0.134, -1.379e-006
0.133, -1.376e-006
0.132, -1.380e-006
0.131, -1.379e-006
0.130, -1.386e-006
0.129, -1.389e-006
0.128, -1.408e-006
0.127, -1.396e-006
0.126, -1.385e-006
0.125, -1.397e-006
0.124, -1.393e-006
0.123, -1.394e-006
0.122, -1.396e-006
0.121, -1.390e-006
0.120, -1.396e-006
0.119, -1.400e-006
0.118, -1.405e-006
0.117, -1.410e-006
0.116, -1.407e-006
0.115, -1.393e-006
0.114, -1.404e-006
0.113, -1.407e-006
0.112, -1.408e-006
0.111, -1.417e-006
0.110, -1.418e-006
0.109, -1.413e-006
0.108, -1.422e-006
0.107, -1.416e-006
0.106, -1.418e-006
0.105, -1.422e-006
0.104, -1.420e-006
0.103, -1.433e-006
0.102, -1.461e-006
0.101, -1.434e-006
0.100, -1.438e-006
0.099, -1.435e-006
